att,c
-15.0,28673.4
-15.0,28582.6
-15.0,28465.7
-15.0,28561.4
-15.0,28597.2
-15.0,28598.2
-15.0,28575.8
-15.0,28562.1
-14.5,31963.4
-14.5,32053.6
-14.5,31888.7
-14.5,31986.6
-14.5,32061.1
-14.5,31826.2
-14.5,32085.0
-14.5,32042.3
-14.0,35887.1
-14.0,35995.1
-14.0,35958.5
-14.0,36034.3
-14.0,35894.6
-14.0,36026.1
-14.0,35911.1
-14.0,36001.0
-13.5,40316.3
-13.5,40370.9
-13.5,40186.7
-13.5,40249.8
-13.5,40266.6
-13.5,40453.9
-13.5,40175.5
-13.5,40343.9
-13.0,45169.6
-13.0,45364.1
-13.0,45315.2
-13.0,45281.4
-13.0,45135.0
-13.0,45214.9
-13.0,45240.4
-13.0,45150.1
-12.5,50833.1
-12.5,50795.9
-12.5,50629.7
-12.5,50758.8
-12.5,50677.2
-12.5,50809.6
-12.5,50606.9
-12.5,50631.5
-12.0,56823.0
-12.0,56818.0
-12.0,56664.6
-12.0,56590.9
-12.0,56814.8
-12.0,56986.9
-12.0,56922.5
-12.0,57122.7
-11.5,63778.8
-11.5,64033.1
-11.5,63843.6
-11.5,63871.2
-11.5,63809.3
-11.5,63920.4
-11.5,63835.8
-11.5,63756.5
-11.0,71372.1
-11.0,71572.4
-11.0,71707.9
-11.0,71749.2
-11.0,71502.1
-11.0,71493.3
-11.0,71460.9
-11.0,71424.6
-10.5,80230.6
-10.5,80190.2
-10.5,79958.9
-10.5,80182.7
-10.5,80160.9
-10.5,80420.7
-10.5,80175.9
-10.5,80139.1
-10.0,89717.3
-10.0,90002.3
-10.0,89834.3
-10.0,90007.1
-10.0,89934.9
-10.0,89897.7
-10.0,89925.7
-10.0,90040.9
-9.5,100685.0
-9.5,100999.0
-9.5,100943.6
-9.5,100857.0
-9.5,101009.4
-9.5,100775.8
-9.5,100960.6
-9.5,101024.5
-9.0,112751.1
-9.0,113188.5
-9.0,113154.1
-9.0,113208.1
-9.0,113191.6
-9.0,113328.1
-9.0,113254.2
-9.0,113094.2
-8.5,126514.1
-8.5,126925.9
-8.5,126507.1
-8.5,126779.4
-8.5,126621.9
-8.5,126716.9
-8.5,126678.4
-8.5,126742.5
-8.0,141865.6
-8.0,141921.9
-8.0,142049.1
-8.0,142134.6
-8.0,141930.3
-8.0,142048.6
-8.0,141798.9
-8.0,142199.0
-7.5,158923.5
-7.5,159176.1
-7.5,159083.2
-7.5,159168.5
-7.5,159152.6
-7.5,159172.2
-7.5,158996.8
-7.5,159068.1
-7.0,178459.5
-7.0,177906.7
-7.0,178226.4
-7.0,177767.7
-7.0,178255.8
-7.0,178040.5
-7.0,178118.2
-7.0,177827.3
-6.5,199540.9
-6.5,199609.9
-6.5,199179.6
-6.5,199193.2
-6.5,199444.4
-6.5,199650.7
-6.5,199555.2
-6.5,199520.4
