w_via,Effective_mode_index,Z0
1.6,1.6981696587560076,51.38620487243439-6.791225553884409E-13i
1.7000000000000002,1.6937542619275348,51.77575224984424+4.2738096491670685E-13i
1.8,1.6901476945013205+1.9759630774014476E-16i,52.01523837994679
1.9000000000000001,1.6873779429361313-3.007427235431247E-13i,52.233480501720614+9.126014555796397E-12i
2,1.6850521212730059+1.936213440213728E-12i,52.395370137003624-6.124280918797182E-11i
2.1,1.683199586996094+1.5777025276559092E-12i,52.52976469402889-4.933213730113898E-11i
2.2,1.681629611918793-2.4645068218198593E-16i,52.61780331258565+3.6066464716834555E-13i
2.3000000000000003,1.6803416301436824,52.694430958421066+2.3660806050557725E-13i
2.4000000000000004,1.679226630776438+1.933772990981563E-16i,52.76362656033188+1.9155843622009444E-13i
2.5,1.6783868399136246,52.823312153019245-3.501902894550881E-14i
2.6,1.6775800661048303+1.9256769683494762E-16i,52.866687223988954+2.1217933587092555E-13i
2.7,1.6769602985074241,52.888209867462095-2.2322532892011055E-14i
2.8000000000000003,1.676436838650031-2.6069368951073534E-13i,52.9282309430953+8.999318058623203E-12i
2.9000000000000004,1.6759538983341047+2.798090413949636E-16i,52.94042055232246+2.7587090062492645E-13i
3,1.6755321722806624-1.6642090263443778E-12i,52.963452909819594+5.3596636933498173E-11i
3.1,1.6752525431528276+2.7711231037566346E-16i,52.986298426219-2.448159797510491E-13i
3.2,1.6748987396421104,52.98161468153368+1.1883398270468552E-13i
3.3000000000000003,1.674704268094695,52.99609819403439-1.9004415883363515E-13i
3.4000000000000004,1.6744080517082494,53.014994552539235-2.5580068614308737E-13i
3.5,1.6742775951636197,53.01937052872838-1.3156366242167501E-13i
3.6,1.674080506373674,53.0291309100994+4.632667328171839E-14i
3.7,1.6739263489090848+2.6518931128764587E-16i,53.018554333533466+3.48998271032605E-13i
3.8000000000000003,1.6737446355049757,53.02869286962854+2.5681002767268422E-14i
3.9000000000000004,1.6736755445880773,53.02151263649567-7.49186046522062E-13i
4,1.6735510789719807,53.0414783649855+2.2048867372019404E-13i
