w_c,w_s,Effective_mode_index,Z0
0.6,0.9,1.673895627083613+2.971403869528113E-16i,56.332032963420204-2.6860223916871503E-14i
0.6,1,1.6747802399605787+1.9736464316058302E-16i,60.75555609104726+2.5121083560903723E-13i
0.6,1.1,1.6781443916537298,65.2130849239317-6.755243769759717E-13i
0.6,1.2000000000000002,1.68166611256065+8.667159494051697E-13i,68.81996386359799-3.7106593727556847E-11i
0.6,1.3,1.6855610459881734-1.8809814223724158E-16i,71.61154928992123+4.014475197748516E-13i
0.6,1.4,1.6885780534386312,74.27497976904772+1.0911523825943489E-13i
0.6,1.5,1.6929799841370383,76.74330623875701+7.600244844510525E-14i
0.6,1.6,1.6966111309032237,78.70224960654126+2.8994877075127255E-13i
0.6,1.7000000000000002,1.7007757680769966,80.46354768539845-2.4305891388078735E-13i
0.6,1.8,1.7051297198607467,82.00315086047405-8.680498242044727E-13i
0.6,1.9,1.7102469876275506,83.45693178696351+1.5432712140286497E-13i
0.6,2,1.7146794224597186,84.68147604030872-2.940897818146432E-13i
0.6,2.1,1.7196066625689777,85.70602043159768-5.225026443871267E-13i
0.6,2.2,1.7248380971879314,86.57387582326923-1.30582568719325E-13i
0.65,0.9,1.672051851055362,52.481246735106275-1.866516408444085E-13i
0.65,1,1.6751364635092356+3.462544098327928E-16i,57.23299707024386-5.6404500266421E-13i
0.65,1.1,1.6786504185142068,61.09497332939292+7.428515409146E-13i
0.65,1.2000000000000002,1.6822578722007457+2.8470391633820895E-16i,65.35590975940335+2.1188151464504908E-13i
0.65,1.3,1.6860571965966937+3.749155532097875E-16i,68.45264795569318-8.65722673816888E-14i
0.65,1.4,1.6895620875492492+3.6405415993818817E-16i,71.15813246499253-6.879093313670098E-13i
0.65,1.5,1.6933819567566808,73.4266588847663-1.6813239640594483E-13i
0.65,1.6,1.6979843067388303-3.5223534008521905E-16i,75.61754663637203+4.87870472339406E-13i
0.65,1.7000000000000002,1.7022040992218415-3.3983675414802155E-16i,77.46089959288186-3.476622917461454E-13i
0.65,1.8,1.7066391967093866,79.02898174502239+7.120008464740304E-13i
0.65,1.9,1.7114035726859307,80.4107727176385-1.5247713906188074E-13i
0.65,2,1.7165052223252164,81.74390734781853-1.2176291030771042E-12i
0.65,2.1,1.7216285000706815-9.56332548796541E-13i,82.78515401417432+4.627686971446114E-11i
0.65,2.2,1.7270173892531242,83.65793629601112-4.472822257573607E-14i
0.7,0.9,1.6721212907726706-2.783647431001813E-12i,48.56777890189953+8.121215166131856E-11i
0.7,1,1.6770945090769056,53.88443260461844-4.643040286354852E-13i
0.7,1.1,1.6785611743043596,58.01810338956517+5.427514799754752E-13i
0.7,1.2000000000000002,1.6824123792242454,62.184160004364514-8.96103825613762E-13i
0.7,1.3,1.6867032767010706-3.7057456157633316E-16i,65.47210348941528-9.714081531865458E-13i
0.7,1.4,1.6906486987153018+2.047168975212847E-13i,68.11562330056746-8.873952806037766E-12i
0.7,1.5,1.694181581891002,70.58186495879308+7.44027268039954E-13i
0.7,1.6,1.6989362475116263,72.80852728344686-6.996235488015729E-13i
0.7,1.7000000000000002,1.7032343469013753,74.66661549400845+7.483052565157637E-13i
0.7,1.8,1.7078464929423636,76.27636172643861+2.0704881946101276E-13i
0.7,1.9,1.7128226480551212,77.68128340800111+4.0588869691759895E-13i
0.7,2,1.7183314469407538+3.2983928369743354E-13i,78.98314792982566-1.474532450451684E-11i
0.7,2.1,1.7234007138470562-2.278071871321412E-16i,80.0687607020284+2.581853351149747E-14i
0.7,2.2,1.728970531552214,80.95591452954523+3.74265112247426E-13i
0.75,0.9,1.671564745573317-3.651660298391974E-16i,44.6365727539157-2.7480407621988484E-13i
0.75,1,1.6752981707382006+2.8754071012205463E-16i,50.397124182959566+2.9796656715727E-13i
0.75,1.1,1.6788716059279458-6.161644925539764E-13i,54.86310591149107+2.077721124444178E-11i
0.75,1.2000000000000002,1.6827347040083938-4.737701434609733E-16i,58.45006262199919-2.5810753153611456E-13i
0.75,1.3,1.6871500500807455-1.4600338363209972E-13i,62.51687212132183+6.384383407745674E-12i
0.75,1.4,1.6909979316410793,65.30376948697473+4.832694062205696E-13i
0.75,1.5,1.6950852001007655,67.83963124868252+8.296342243666933E-13i
0.75,1.6,1.6992745164674907-2.6077651850773624E-16i,69.92782224728896+3.925780115815064E-13i
0.75,1.7000000000000002,1.7045765350512643+3.357107271465928E-16i,71.97445793333459+9.215609936925503E-13i
0.75,1.8,1.7091538601616398,73.65142049012809-4.810970499588851E-13i
0.75,1.9,1.7141567337882229,75.08114764357401-1.3676258837148594E-13i
0.75,2,1.7194358533158616-9.590914216704045E-14i,76.32384934537956+5.304918425267903E-12i
0.75,2.1,1.725160531607976,77.50727043771887+1.1377787057135002E-12i
0.75,2.2,1.7309393719013226,78.41043303832127+1.0828861794530843E-12i
0.8,0.9,1.6725264065465983-1.8016851324441966E-12i,40.22422703427454+4.7374510543258764E-11i
0.8,1,1.6750151510035882,46.836228402876316-2.1983835857802242E-13i
0.8,1.1,1.6804987975083223,51.73204848415362+3.430772331285931E-13i
0.8,1.2000000000000002,1.6827129447669134,55.68161314645783-3.4121121619677427E-13i
0.8,1.3,1.6870966220002634,59.58372423324117-4.7092759340949015E-14i
0.8,1.4,1.69176104829512,62.66401306471677+2.276784666671075E-13i
0.8,1.5,1.6962611322428651+3.529587184250978E-16i,65.11812328914225-3.9273810797523296E-13i
0.8,1.6,1.7003014295097496,67.40511612022514-2.945362876455695E-13i
0.8,1.7000000000000002,1.705519118382748-3.344418457585307E-16i,69.48995503110467+7.854984442551474E-13i
0.8,1.8,1.7102418158690076,71.15600707932397-1.335336990875246E-14i
0.8,1.9,1.7154804456148511,72.63122459273997-6.177385204595175E-13i
0.8,2,1.7209712397898298,73.8973718271225+4.541067134119888E-13i
0.8,2.1,1.7272354465020083,75.06324842362075-1.4719624479606558E-13i
0.8,2.2,1.7329163634255926,76.00345955582404+1.6480600156056829E-12i
